date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,6,K Zulkipli @ K Zulkifli Bin Harrith,22031,USNO,15,111,1.3462704669496666,lost_deposit,Sungai Manila,False
2020-09-26,SE-14,Sabah,N.52 Sungai Sibuga,1,Hj Mohamad Hamsan,22032,BN,25,7545,52.69590724961587,won,Sungai Sibuga,False
2020-09-26,SE-14,Sabah,N.52 Sungai Sibuga,2,Irwanshah Bin Mustapa,4349,PCS,75,526,3.6736974437770638,lost_deposit,Sungai Sibuga,False
2020-09-26,SE-14,Sabah,N.52 Sungai Sibuga,3,Mohd Jain Bin Aliuddin,22034,PPRS,77,114,0.7962005866741164,lost_deposit,Sungai Sibuga,False
2020-09-26,SE-14,Sabah,N.52 Sungai Sibuga,4,Kemellia Binti Hasan,22035,LDP,58,126,0.8800111747450762,lost_deposit,Sungai Sibuga,False
2020-09-26,SE-14,Sabah,N.52 Sungai Sibuga,5,Armani Binti Mahiruddin,22036,WARISAN,74,6007,41.954183545187874,lost,Sungai Sibuga,False
2020-09-26,SE-14,Sabah,N.53 Sekong,1,Saran Bin Jumdail,22037,USNO,15,63,0.5844155844155844,lost_deposit,Sekong,False
2020-09-26,SE-14,Sabah,N.53 Sekong,2,Cikgu Alias Bin Sani,22038,WARISAN,74,5937,55.07421150278293,won,Sekong,False
2020-09-26,SE-14,Sabah,N.53 Sekong,3,Mohd Fazil Bin Ajak,22039,LDP,58,102,0.9461966604823747,lost_deposit,Sekong,False
2020-09-26,SE-14,Sabah,N.53 Sekong,4,Abidin Bin Sukor,22040,PPRS,77,87,0.8070500927643784,lost_deposit,Sekong,False
2020-09-26,SE-14,Sabah,N.53 Sekong,5,Sitti Nurul Ain Sahidah Bt Pitting,22041,PCS,75,253,2.3469387755102042,lost_deposit,Sekong,False
2020-09-26,SE-14,Sabah,N.53 Sekong,6,Hazulizah Mohd Dani,22042,BN,25,4338,40.24118738404452,lost,Sekong,False
2020-09-26,SE-14,Sabah,N.54 Karamunting,1,Adam Chal,22043,USNO,15,306,3.1578947368421053,lost_deposit,Karamunting,False
